,Fresh Fruit,Added on,Sweaty,Member ratings,Bottled for,Wishlist num,Leafy,Oily,Bottler,Collection,All Rating,Whiskybase ID,Kippery,Citric,Sherried,Mossy,Nutty,Toasted,Plastic,Solvent,Barcode,Medicinal,Coal-gas,Husky,Yeasty,Hay-like,Leathery,Vegetative,Dried Fruit,Calculated age,Category,Strength,Casktype,Green-House,New Wood,Number of bottles,Honey,Price,Bottled,Distillery,Vanilla,Malt Extract,Vintage,Cooked Fruit,Tobacco,Chocolate,Bottle code,Casknumber,Stated Age,Smokey,Market,Cooked Vegetable,Old Wood,Cooked Mash,Rubbery,Votes,Size,Fragant,Sandy,Bottling serie,Label
237,0,09 Jun 2020 10:12 pm,0,40,NaN,9,0,0,Gordon & MacPhail (GM),29,93.84,WB160129,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,40.0 % Vol.,Oak Casks,0,0,NaN,0,€ 8456.01,12.1987,NaN,0,0,1937,0,0,0,NaN,NaN,50 years old,0,NaN,0,0,0,0,40,50 ml 750 ml,0,0,Celtic Series - Book of Kells,Decanter
238,0,01 Dec 2010 5:44 pm,0,207,NaN,87,1,0,Distillery Bottling,154,93.83,WB19247,0,0,1,0,0,0,0,0,NaN,0,0,1,0,0,0,0,1,NaN,Single Malt,59.1 % Vol.,Refill Hogshead,2,0,303,0,€ 730.23,2010,Glenglassaugh,1,0,05.1972,0,0,0,NaN,2891,38 years old,0, Germany,0,1,0,0,207,700 ml,0,0,for Andrea Caminneci,NaN
239,0,09 Nov 2011 4:30 pm,0,26,NaN,38,0,0,Intertrade (It),9,93.83,WB26939,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,58.5 % Vol.,NaN,0,0,297,0,€ 1930.00,28.03.1989,Caol Ila,0,0,21.03.1968,0,0,0,NaN,NaN,21 years old,0,NaN,0,0,0,0,26,750 ml,0,0,NaN,White distillery label - printed in red
240,0,06 Nov 2007 12:18 pm,0,171,The Celebration of the 50th Anniversary of the Original Stanley P. Morrison Company,35,0,0,Distillery Bottling,159,93.83,WB755,0,0,0,0,0,0,0,0,5011333570844,0,0,0,0,0,0,0,0,NaN,Single Malt,45.5 % Vol.,NaN,0,0,1860,0,€ 6454.46,2000,Bowmore,0,0,1968,0,0,0,L493 239L,NaN,32 years old,0,NaN,0,0,0,0,171,700 ml 750 ml,0,0,Anniversary Edition,NaN
241,0,30 May 2014 5:11 pm by Alex,0,20,NaN,13,0,0,Distillery Bottling,5,93.83,WB55290,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,53.1 % Vol.,American Oak Sherry Casks,0,0,400,0,€ 112183.62,2013,Macallan,0,0,11.1950,0,0,0,NaN,NaN,62 years old,0,NaN,0,0,0,0,20,700 ml,0,0,The Spiritual Home,NaN
242,0,21 Nov 2007 8:36 pm,0,36,NaN,25,0,0,Distillery Bottling,41,93.82,WB893,0,0,0,0,0,0,0,0,5010494282283,0,0,0,0,0,0,0,0,32 years old,Single Malt,54.5 % Vol.,Bourbon cask,0,0,110,0,€ 4755.35,25.09.2006,Ardbeg,0,0,12.07.1974,0,0,0,NaN,3326,NaN,0, Germany,0,0,0,0,36,700 ml,0,0,NaN,NaN
243,1,11 Oct 2012 2:17 pm,0,130,NaN,46,0,0,Distillery Bottling,91,93.82,WB36237,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,49.0 % Vol.,Oloroso Sherry Butt,0,0,356,0,€ 9598.72,10.2012,Glendronach,0,0,02.03.1972,0,0,0,NaN,710,40 years old,0,NaN,0,0,0,0,130,700 ml,0,0,Single Cask - Batch 7,NaN
244,1,05 Jan 2016 6:55 pm by Ardinho,0,113,NaN,37,0,0,Distillery Bottling,80,93.82,WB76458,0,1,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,43.0 % Vol.,Sherry Casks and American Casks,0,0,20400,1,€ 6292.08,1979,Bowmore,0,0,1964,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,113,750 ml,0,0,Bicentenary 1779 - 1979,Morrison family crest
245,0,17 Dec 2010 6:39 pm,0,48,NaN,62,0,0,James MacArthur (JM),13,93.82,WB19687,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,0,NaN,Single Malt,63.0 % Vol.,Sherry Cask,0,0,NaN,0,€ 650.00,1986,Caol Ila,0,0,1974,0,0,0,NaN,74.23.1,12 years old,0,NaN,0,0,0,0,48,700 ml,0,0,The London Scottish Malt Whisky Society,NaN
246,0,04 Nov 2007 5:24 pm,0,34,NaN,19,0,0,Distillery Bottling,36,93.81,WB661,0,0,0,0,0,0,0,0,850483000420,0,0,0,0,0,0,0,0,NaN,Single Malt,51.0 % Vol.,Sherry Wood,0,0,960,0,€ 4558.05,NaN,Bowmore,0,0,1971,0,0,0,NaN,NaN,34 years old,0,NaN,0,0,0,0,34,750 ml,0,0,Vintage Distillation,NaN
